dataset,model,seed,forget_size,method,accuracy,fid,mia
Adult,RF,103,10,Weighting,0.848160979,0.010238544,0.073890381
Adult,RF,104,5,Exact,0.847718729,0,0.12345601
Adult,RF,104,5,SISA,0.856711137,0.022150027,0.300236929
Adult,RF,104,5,Weighting,0.846686814,0.012262037,0.323771916
Adult,RF,104,10,Exact,0.846981647,0,0.325446217
Adult,RF,104,10,SISA,0.855458097,0.014482575,0.300394882
Adult,RF,104,10,Weighting,0.847718729,0.008376405,0.321908071
Adult,RF,105,5,Exact,0.845876023,0,0.129616174
Adult,RF,105,5,SISA,0.853762807,0.022208962,0.101089875
Adult,RF,105,5,Weighting,0.844917815,0.012476999,0.128131417
Adult,RF,105,10,Exact,0.843517358,0,0.128226189
Adult,RF,105,10,SISA,0.853541682,0.017351239,0.099383984
Adult,RF,105,10,Weighting,0.843075109,0.009510003,0.229047544
Adult,RF,106,5,Exact,0.851256726,0,0.271773811
Adult,RF,106,5,SISA,0.859290927,0.018916483,0.299984205
Adult,RF,106,5,Weighting,0.850445935,0.012500288,0.273890381
Adult,RF,106,10,Exact,0.849929977,0,0.028415732
Adult,RF,106,10,SISA,0.859069802,0.021854363,0.000963513
Adult,RF,106,10,Weighting,0.849929977,0.010662865,0.025762123
Adult,RF,107,5,Exact,0.844180733,0,0.273953562
Adult,RF,107,5,SISA,0.851625267,0.020128353,0.299004897
Adult,RF,107,5,Weighting,0.844549274,0.010972175,0.071299953
Adult,RF,107,10,Exact,0.846465689,0,0.129205497
Adult,RF,107,10,SISA,0.853246849,0.019914611,0.000679198
Adult,RF,107,10,Weighting,0.842780276,0.009253062,0.027562786
Adult,RF,108,5,Exact,0.848676937,0,0.124561681
Adult,RF,108,5,SISA,0.855089556,0.016714931,0.100047386
Adult,RF,108,5,Weighting,0.849782561,0.015316006,0.123487601
Adult,RF,108,10,Exact,0.851404142,0,0.226172801
Adult,RF,108,10,SISA,0.855384389,0.015455653,0.200110567
